DATA;CONTA; VALOR ;MINISTÉRIO;TRANSAÇÃO;MOVIMENTO;VERSAO
2026/01/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/02/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/03/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/04/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/05/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/06/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/07/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/08/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/09/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/10/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/11/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;PLANEJADO
2026/01/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/02/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/03/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/04/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/05/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/06/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/07/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/08/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/09/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/10/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/11/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;PLANEJADO
2026/01/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;MPAGO;-50.00;COMUNICAÇÃO;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;SICREDI;-100.00;MISSÕES;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;MPAGO;-80.47;BOAS VINDAS;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/01/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/02/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/03/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/04/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/05/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/06/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/07/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/08/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/09/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/10/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/11/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;SICREDI;-61.62;SOCIAL;SAÍDAS;ORDINÁRIO;PLANEJADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;AP.MPAGO;1496.21;FINANCEIRO;ENTRADAS;EXTRAORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;12086.19;OFERTAS;ENTRADAS;ORDINÁRIO;AJUSTADO
2026/01/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/02/25;SICREDI;-12806.47;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/03/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/04/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/05/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/06/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/07/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/08/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/09/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/10/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/11/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;-10698.60;PREBENDA BRUTA;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/01/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/02/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/03/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/04/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/05/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/06/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/07/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/08/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/09/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/10/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/11/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;-4016.25;ALUGUEL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/01/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/02/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/03/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/04/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/05/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/06/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/07/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/08/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/09/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/10/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/11/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/12/25;SICREDI;-537.14;FINANCEIRO;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/01/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/02/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/03/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/04/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/05/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/06/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/07/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/08/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/09/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/10/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/11/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/12/25;MPAGO;-100.00;LOUVOR;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/01/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/02/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/03/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;AJUSTADO
2026/04/25;SICREDI;-50.00;INFANTIL;SAÍDAS;ORDINÁRIO;AJUSTADO
